kW
300.8776245
316.6712646

323.1990662
305.4225464
289.9877319
310.7394409
333.5461426
334.8120728
334.1526489
336.0237427
318.4250488
308.4440308
332.5911255
337.1472168
337.5986328
337.7584229
336.5714417
313.2685852
294.4653015
328.868103
334.4838257
327.1882629
323.116272
319.3205566
302.659668
286.109436
303.350769
328.4941101
330.9561462
331.0301819
327.3712463
303.9333496
285.8883972
317.7677002
279.8358154
301.2625427
320.4822998
328.6030884
316.2445679
320.9914246
320.6447449
318.2470093
304.8132629
300.5340576
307.4181519
307.4880981
300.4730225
306.1669922
334.4838257
336.8359985
336.0949707
334.203125
310.5739136
290.5970459
325.2376404
333.8962402
331.1398621
328.165741
325.9002686
307.0398865
290.798584
317.3538818
340.4957581
345.0544434
339.2478027
326.1198425
330.7588806
326.7512817
330.7636719
333.1692505
334.4890747
333.8043823
330.5876465
308.5911865
289.1346436
319.4759521
335.2563782
336.2014771
335.5752258
332.4861755
307.1868286
288.9780579
323.62677
342.190918
342.1578674
340.9592896
343.0095215
319.9473572
300.8610229
332.3166809
337.6528931
340.1495972
339.9092407
342.6560059
323.2684326
302.7862549
333.0914917
347.7073059
348.2311096
