date,kW
2019/6/10,350.141
2019/6/11,346.883
2019/6/12,338.179
2019/6/13,340.793
2019/6/14,335.714
2019/6/15,307.399
2019/6/16,299.822
2019/6/17,348.695
2019/6/18,368.608
2019/6/19,377.364
2019/6/20,384.09
2019/6/21,382.262
2019/6/22,349.223
2019/6/23,317.445
2019/6/24,339.907
2019/6/25,351.381
2019/6/26,350.162
2019/6/27,356.885
2019/6/28,366.75
2019/6/29,342.722
2019/6/30,327.882
2019/7/1,355.35
2019/7/2,359.015
2019/7/3,348.871
2019/7/4,352.368
2019/7/5,350.28
2019/7/6,322.884
2019/7/7,312.81
2019/7/8,354.286
2019/7/9,360.449
2019/7/10,363.084
2019/7/11,359.087
2019/7/12,360.127
2019/7/13,334.682
2019/7/14,321.452
2019/7/15,364.893
2019/7/16,376.816
2019/7/17,381.033
2019/7/18,373.161
2019/7/19,364.325
2019/7/20,329.563
2019/7/21,311.096
2019/7/22,345.826
2019/7/23,354.659
2019/7/24,360.731
2019/7/25,367.923
2019/7/26,369.37
2019/7/27,333.98
2019/7/28,312.766
2019/7/29,357.657
2019/7/30,372.518
2019/7/31,374.623
2019/8/1,375.41
2019/8/2,365.826
2019/8/3,335.586
2019/8/4,328.514
2019/8/5,371.635
2019/8/6,374.848
2019/8/7,374.025
2019/8/8,371.513
2019/8/9,336.511
2019/8/10,338.342
2019/8/11,328.236
2019/8/12,357.815
2019/8/13,357.298
2019/8/14,369.086
2019/8/15,364.341
2019/8/16,357.62
2019/8/17,330.097
2019/8/18,307.806
2019/8/19,337.203
2019/8/20,343.997
2019/8/21,347.032
2019/8/22,357.805
2019/8/23,362.903
2019/8/24,321.683
2019/8/25,305.622
2019/8/26,352.365
2019/8/27,363.805
2019/8/28,371.723
2019/8/29,374.813
2019/8/30,359.782
2019/8/31,329.676
2019/9/1,332.912
2019/9/2,374.997
2019/9/3,382.283
2019/9/4,369.469
2019/9/5,363.107
2019/9/6,365.96
2019/9/7,339.934
2019/9/8,323.579
2019/9/9,364.627
2019/9/10,375.452
2019/9/11,379.44
2019/9/12,379.549
2019/9/13,336.406
2019/9/14,324.443
2019/9/15,315.099
2019/9/16,353.608
2019/9/17,358.369
2019/9/18,353.586
2019/9/19,345.22
2019/9/20,335.219
2019/9/21,299.075
2019/9/22,285.911
2019/9/23,322.52
2019/9/24,331.081
2019/9/25,333.252
2019/9/26,339.548
2019/9/27,342.488
2019/9/28,317.598
2019/9/29,306.994
2019/9/30,317.882
